Time(s),Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14
7.046,0.415000,0.578000,1.267000,2.839000,0.098000,1.109000,0.477000,0.413000,3.370000,-0.032000,0.033000,-0.061000,-0.031000,0.063000
7.122,0.480000,0.476000,1.301000,2.805000,0.197000,1.109000,0.477000,0.445000,3.370000,-0.065000,0.033000,-0.031000,-0.062000,0.031000
7.149,0.480000,0.476000,1.267000,2.771000,0.098000,1.142000,0.444000,0.478000,3.403000,-0.065000,0.033000,-0.061000,0.000000,0.031000
7.229,0.382000,0.578000,1.233000,2.873000,0.098000,1.272000,0.444000,0.445000,3.370000,-0.118000,-0.032000,-0.092000,-0.031000,0.063000
7.276,0.415000,0.476000,1.233000,2.771000,0.131000,1.109000,0.423000,0.478000,3.337000,-0.097000,-0.053000,-0.031000,0.000000,0.031000
7.338,0.513000,0.544000,1.301000,2.771000,0.098000,1.109000,0.444000,0.413000,3.337000,-0.150000,-0.117000,-0.092000,-0.031000,0.000000
7.386,0.415000,0.476000,1.233000,2.805000,0.098000,1.109000,0.509000,0.413000,3.403000,-0.150000,-0.020000,-0.092000,0.030000,0.031000
7.466,0.415000,0.544000,1.236000,2.805000,0.065000,1.109000,0.444000,0.413000,3.403000,-0.280000,-0.280000,-0.061000,-0.062000,0.031000
7.466,0.415000,0.476000,1.267000,2.771000,0.098000,1.174000,0.444000,0.511000,3.403000,-0.345000,-0.377000,-0.061000,-0.031000,0.031000
7.522,0.513000,0.510000,1.267000,2.771000,0.098000,1.109000,0.444000,0.478000,3.370000,-0.591000,-0.558000,-0.092000,-0.031000,0.063000
7.571,0.415000,0.510000,1.267000,2.771000,0.197000,1.109000,0.509000,0.445000,3.437000,-0.850000,-0.752000,-0.092000,0.000000,0.063000
7.653,0.415000,0.510000,1.233000,2.839000,0.164000,1.109000,0.542000,0.413000,3.370000,-1.095000,-0.461000,-0.092000,0.000000,0.031000
7.708,0.448000,0.510000,1.233000,2.873000,0.098000,1.207000,0.477000,0.543000,3.370000,-0.559000,-0.526000,-0.092000,-0.031000,0.000000
7.755,0.448000,0.476000,1.199000,2.771000,0.098000,1.142000,0.412000,0.413000,3.370000,-0.591000,-0.526000,-0.061000,-0.062000,0.031000
7.809,0.415000,0.476000,1.301000,2.771000,0.197000,1.174000,0.542000,0.445000,3.403000,-0.474000,-0.377000,-0.092000,-0.031000,0.094000
7.893,0.382000,0.476000,1.233000,2.805000,0.131000,1.109000,0.477000,0.445000,3.370000,-0.559000,-0.494000,-0.092000,0.000000,0.031000
7.936,0.382000,0.578000,1.233000,2.873000,0.131000,1.207000,0.444000,0.445000,3.370000,-0.591000,-0.558000,-0.092000,0.040000,0.000000
7.985,0.415000,0.442000,1.233000,2.771000,0.065000,1.109000,0.477000,0.445000,3.337000,-0.572000,-0.655000,-0.031000,-0.031000,0.094000
8.042,0.546000,0.476000,1.301000,2.805000,0.197000,1.142000,0.477000,0.413000,3.370000,-0.656000,-0.623000,-0.061000,-0.031000,0.031000
8.117,0.480000,0.476000,1.301000,2.771000,0.098000,1.142000,0.444000,0.413000,3.403000,-0.656000,-0.558000,-0.061000,0.040000,0.000000
8.173,0.415000,0.578000,1.267000,2.873000,0.131000,1.174000,0.444000,0.445000,3.370000,-0.785000,-0.720000,-0.092000,0.000000,0.031000
8.254,0.415000,0.476000,1.233000,2.805000,0.131000,1.142000,0.444000,0.478000,3.370000,-0.785000,-0.784000,0.000000,-0.031000,0.126000
8.287,0.513000,0.510000,1.301000,2.805000,0.098000,1.142000,0.477000,0.413000,3.370000,-1.030000,-1.029000,-0.092000,0.000000,0.000000
8.443,0.448000,0.476000,1.267000,2.805000,0.098000,1.109000,0.542000,0.445000,3.503000,-1.191000,-0.933000,-0.061000,0.071000,0.031000
8.466,0.415000,0.578000,1.233000,2.839000,0.098000,1.142000,0.444000,0.413000,3.470000,-1.095000,-1.061000,-0.061000,-0.062000,0.031000
8.534,0.415000,0.476000,1.267000,2.771000,0.098000,1.207000,0.444000,0.511000,3.403000,-0.947000,-0.933000,0.000000,-0.062000,0.031000
8.600,0.513000,0.476000,1.233000,2.771000,0.098000,1.109000,0.444000,0.445000,3.370000,-1.159000,-0.997000,-0.092000,-0.031000,0.094000
8.690,0.448000,0.578000,1.233000,2.771000,0.197000,1.142000,0.542000,0.413000,3.470000,-1.063000,-0.900000,-0.092000,0.000000,0.000000
8.729,0.415000,0.783000,1.267000,2.805000,0.098000,1.142000,0.477000,0.445000,3.377000,-1.030000,-1.029000,-0.092000,-0.031000,0.031000
8.806,0.448000,0.510000,1.199000,2.873000,0.098000,1.207000,0.477000,0.543000,3.370000,-0.998000,-1.126000,-0.092000,-0.062000,0.000000
8.832,0.415000,0.476000,1.267000,2.771000,0.098000,1.142000,0.444000,0.445000,3.370000,-1.224000,-1.126000,-0.061000,-0.062000,0.031000
8.912,0.415000,0.476000,1.335000,2.771000,0.197000,1.142000,0.575000,0.413000,3.470000,-1.063000,-1.029000,-0.092000,-0.031000,0.126000
8.959,0.415000,0.476000,1.199000,2.771000,0.098000,1.109000,0.423000,0.445000,3.403000,-1.095000,-0.997000,-0.123000,0.000000,0.000000
9.040,0.415000,0.578000,1.199000,2.839000,0.098000,1.207000,0.444000,0.511000,3.370000,-1.191000,-1.158000,-0.092000,0.009000,0.031000
9.072,0.415000,0.442000,1.199000,2.771000,0.098000,1.109000,0.836000,0.478000,3.370000,-1.095000,-1.126000,-0.061000,-0.031000,0.063000
9.154,0.513000,0.476000,1.301000,2.805000,0.197000,1.174000,0.542000,0.413000,3.403000,-1.159000,-1.094000,0.031000,-0.062000,0.031000
9.203,0.415000,0.476000,1.233000,2.771000,0.098000,1.142000,0.444000,0.413000,3.437000,-1.127000,-1.061000,-0.061000,0.000000,0.000000
9.260,0.382000,0.544000,1.233000,2.873000,0.098000,1.207000,0.423000,0.445000,3.437000,-1.191000,-1.126000,-0.092000,-0.062000,0.000000
9.310,0.415000,0.510000,1.199000,2.771000,0.098000,1.109000,0.423000,0.511000,3.730000,-1.127000,-1.190000,-0.031000,-0.031000,0.094000
9.394,0.480000,0.510000,1.267000,2.771000,0.131000,1.207000,0.444000,0.413000,3.370000,-1.191000,-1.305000,-0.061000,-0.031000,0.031000
9.394,0.415000,0.476000,1.236000,2.839000,0.098000,1.109000,0.542000,0.445000,3.437000,-1.320000,-1.241000,-0.092000,0.040000,-0.031000
9.441,0.382000,0.578000,1.236000,2.805000,0.098000,1.142000,0.412000,0.380000,3.370000,-1.352000,-1.305000,-0.092000,-0.062000,0.000000
9.534,0.382000,0.442000,1.236000,2.771000,0.065000,1.207000,0.792000,0.511000,3.370000,-1.224000,-1.305000,0.031000,-0.062000,0.031000
9.557,0.448000,0.476000,1.233000,2.737000,0.098000,1.337000,0.423000,0.445000,3.337000,-1.403000,-1.305000,-0.092000,-0.031000,0.063000
9.636,0.415000,0.510000,1.199000,2.771000,0.222000,1.142000,0.542000,0.445000,3.437000,-1.435000,-1.369000,-0.123000,0.000000,0.000000
9.681,0.415000,0.476000,1.301000,2.771000,0.098000,1.109000,0.444000,0.413000,3.370000,-1.596000,-1.466000,-0.092000,0.000000,0.000000
9.745,0.546000,0.442000,1.199000,2.873000,0.065000,1.240000,0.444000,0.511000,3.370000,-1.467000,-1.498000,-0.092000,-0.062000,0.000000
9.785,0.382000,0.442000,1.236000,2.771000,0.098000,1.174000,0.444000,0.413000,3.370000,-1.724000,-1.676000,-0.031000,-0.062000,0.094000
9.876,0.382000,0.476000,1.301000,2.771000,0.197000,1.142000,0.509000,0.445000,3.437000,-1.692000,-1.626000,-0.092000,-0.062000,0.063000
9.929,0.415000,0.476000,1.436000,2.771000,0.098000,1.142000,0.423000,0.445000,3.337000,-1.806000,-1.708000,-0.123000,0.040000,0.000000
9.981,0.448000,0.612000,1.233000,2.839000,0.098000,1.240000,0.444000,0.478000,3.370000,-1.660000,-1.676000,-0.092000,0.000000,0.000000
